,pid,bonus
0,60ff99f7ece17d3730dc660c,0.7
1,665221f0996f9daef629b186,0.6
2,5fa047ad567cb704589a2f4a,1.0
3,66ee1b8ee4da3710c1695515,0.7
4,634656bd2603b4db42ae94e1,0.5
5,5bfbfeed249c390001f875be,0.5
6,63bb98852cdc67dece8adb8e,0.6
7,5f08fba1b722b7189ac46394,0.5
8,65f07afc1465de6442db2c75,0.5
9,6722c34ac389f8f1cd8e5570,0.7
10,66439c275cd3cf1ee2426935,1.0
11,632a9a164ae4b7deb9aa84db,0.4
12,651d9ea96f3253abbfd8d38b,0.4
13,67754f184462a8a3db91a065,0.1
14,675a4720f3bac16ad287a128,0.5
15,677efb084e5b1a571a3ecac6,0.2
16,6765812a3e722ff405b76bbc,0.5
17,676538503e2b49f16de1a6e1,0.9
18,6738a3b43d87b60bab25afc0,0.5
19,672d2535c18e5f73d140ce65,0.4
20,66e9d71e042d1411d15e05da,0.5
21,6741eac6271b139c64813fa5,0.3
22,6112c911a83cc494df38b468,0.5
23,63d82b2de40f94ceb14816cc,0.7
24,676f05e174ced6e867ae4b4f,0.6
25,671c9619b8a112b42f2e0315,0.7
26,6643fee20b29ef525a53f021,0.4
27,66826e9e2c8e4bfd530e5584,0.4
28,67780f75ddee87c96149e53a,0.2
29,5f0151a9e5751c2a5313c45e,0.1
30,674ca6e73e98a96de2cda112,0.3
31,66439d24bf5f2505d7929c12,0.4
32,5b046e88c5f61c000189a278,0.4
33,664644138e5743a320b474c9,0.3
34,61523f5edff0567aa388e752,0.5
35,66ea174a36d3100b31d5bb87,0.6
36,672c5b8a4e9baf334a143014,0.5
37,6735f1cb7f8b1ab0476fec9d,0.4
38,63868eb7abcf3f247da6f52b,0.6
39,66406e506f36b58f51ffa0f8,1.0
40,66fa2fdb0da6018122cabdb4,0.6
41,5f01d812e83c5732b0dd15e6,0.5
42,6644cf08c2322b427178d75f,0.6
43,66d75a4947ce7454734618f4,0.8
44,66e22f43c30f295c6862e423,0.3
45,5c4d5328889752000156a11d,0.6
46,573a8aca67421f000f191c52,0.3
47,671368888addf99a3556f2e0,1.0
48,6773183c576fcec093b84fc6,0.6
49,676920d4e1d51c1348cd7ed5,0.5
50,66880d96fa078657d2a9a61f,0.8
51,66f3011b6ef5575e593d6865,0.9
52,667998e5c55fe7def1eb7496,0.9
53,678118f3fab3fd65e54ae7aa,0.4
54,65e4c36c207fbc09cdef5562,0.7
55,677e96ffff106c83d1f45e87,0.3
56,610838248aa1f186a7bbe41c,0.3
57,6763fd444de8fe6ccd06ab8b,0.0
58,662190146ef67bab626e48cb,0.3
59,6100dd0240e57d5cb3908402,0.6
60,66d51b4e213b318f941da552,0.7
61,5f726103e138fe19277a7d0f,0.9
62,5f540c0d1ed01f77d9512fac,1.0
63,67697258f10f614576fd95bd,0.7
64,6780ec7d4dcd4fa03d014879,0.3
65,66ddf8831169515306f3ca83,0.7
66,5dcf40686d5225091e31fe14,0.5
67,671c91189c7272293e7fc44f,0.7
68,66fe8f951effba868f4a8c87,0.8
69,6738a9849048106a0d799a2e,0.8
70,66aa3642b1885fdf7c2b9a2a,0.1
71,6647ce8c4b8ee105144eb431,0.4
72,663531819b6036524054c4f0,0.7
73,67533ca4b2bb610c7c23881f,0.4
74,668ddcae66b7fcec2f492fd0,0.6
75,5eaf1a2c649fd108284c2b5f,0.5
76,674b1ff25c8dd0cd9cb37e07,0.0
77,5f2eebd9d21e322a9ed68f09,0.8
78,65ade9c67386573b4cb3ec9e,0.9
79,606479c20b621e3a22d6c0d5,0.3
80,6685dba14d53fe6101047e9b,1.0
81,6760f2ed5c7e5d977eb5bd54,0.3
82,65c523100ad7bf41ef536598,0.3
83,677d955806698d969ff1ecb9,0.7
84,5d8998025e8a740001d6e2f1,0.6
85,66eeda2bc7d6e9b92b4a81c0,0.7
86,676e41c02e57e572f2cce4f5,0.5
87,6022cb0bc69ce70874b42f78,0.7
88,66edfd0393a07105ff1c86a2,0.4
89,67254fdadc05592a98c22275,0.5
90,65c1102ddf7572abd4a59421,0.5
91,67598b8450275ca58948f4b8,0.4
92,6744afc59b27bcfcb4d56670,1.0
93,6544ff9e0fb2eaaf83e2de5c,0.7
94,671b11a67e1305a845fcd459,0.7
95,6780695bdb28c81f22776ccc,0.2
96,63614899ad49a91f1ef09067,0.6
97,60fe78024bb07d7a327ec085,0.1
98,671319ab9d074e6270def574,0.5
99,5d20189bb34728001a230962,0.4
100,676f124a2e57e572f2cd0d61,0.3
101,6780e93c8c74c880ece318e6,0.3
102,652be630d5ccaffb4fa0922b,0.2
103,67765acd22fed68f465d09fd,0.6
104,66828964434e3570607d323d,0.8
105,67631b44ebccc0b465b89e86,0.5
106,5dd32e9deab0423455e0358f,0.3
107,673bcd3aa6da080bbe893890,0.2
108,60a6be72ccb15020f04ba501,1.0
109,604fe822b095421e07e3f93e,0.8
110,662973533159df515afdd606,0.6
111,677ba22e77e7642bd95d8340,0.5
112,67633adc68c16e19747bb851,0.2
113,6722965814ca70cd45ead413,0.5
114,674de6f59cff835e63f72bd5,0.6
115,66c3b82a1bf635c05395f70f,0.4
116,663a60a3f04c189a9fe9e264,0.6
117,6775a074d512e7486cd4dc08,0.5
118,66da0034566016dfc88c4433,0.7
119,676f2a184ee41adeb2b06b60,0.4
120,678004324da38225881da12d,0.4
121,66ae394dd6f0020399d3b887,0.8
122,677bf26dccd4d0f6e996cb9e,0.5
123,66be7c937677c91a02892ce5,0.7
124,66a80aec6ae8fedcb9bbf021,1.0
125,64514dd03f467fe3cf0cf364,0.8
126,5dc5bd296a8a334443fbf216,0.4
127,6113e952f001de80bb7226f2,0.3
128,61008053a174bf7b075c75ff,1.0
129,64a826f6220bf56dca731156,0.4
